UserID,Description,PostCount
953c6d1c-96df-4316-8822-3f5aabf7d51f,,2
1d86c581-6476-458c-a540-72893c7898d6,,4970
5ff63c8d-8cc5-427d-909f-a13ce9edbfbb,,6320
8d726d0c-aaab-4a06-a82f-baca64380926,,8052
1ad1f053-f125-4702-9425-7bdc9af9b8e7,,6174
a3d5ec3e-8057-405a-a98c-72e7942c9b1a,,24892
dffefe9a-252b-4f34-9fba-b2136c625994,,222
d4816e19-44b4-4063-9003-637c280b13ee,,5095
03bb258b-547b-401e-9c96-98a0ed40119f,,93
5598e069-d4a1-4a5b-a1a6-bcdf0650bbcd,,50
4389dd7a-9f3b-4823-aea7-944dfbd9031e,,91
9f179a94-050b-4026-829b-282bcdd73b4b,,6299
235f7d69-bbf1-4806-8129-957207453701,,19
586871b0-dea5-4a16-9c64-594a4dbc11ed,,10
7fec14f1-89d4-4d5a-9536-8d5960665ce8,,920
61e7e7e6-2f75-4c88-9153-76e1c7e405fb,,8776
4f530490-fd54-42b8-9053-2722a25d289e,,845
b15dac51-83e5-4cdb-8f71-bbcf61fab284,,5675
482cb9bd-c114-495b-8c69-7bad67877c8d,,3290
14fdcc05-f07f-4888-abe7-aef34485c6d6,,50
7f58986a-fd29-496e-a7db-26abbbe41007,,2
16f110f4-d886-4848-8a07-880c2c689026,,44
4ac1ff56-436f-4224-be01-b0d5864e926b,,37
6a29f2e5-d980-4a85-b1bc-4e753575355d,,1
bac9794f-49bd-44d3-a113-81d8966e116c,,1429
972310b7-e74d-4440-a41b-7de58cc48fb5,,827
8c0a1ab4-8d36-413c-a69b-39e50367a4d3,,87
d3a5fa32-2a3d-4e26-8d09-b60d63d09491,,2987
83dae225-d73e-442a-964d-b34943b5c7e3,,4751
1fd384fa-d50a-4d58-9ff2-76230ecac0f9,,1301
d9e0241a-1db5-4b32-ae65-9c260ad1bbe8,,1582
dca97dd8-32ac-4970-8289-6e76f35d15a0,,3665
577844bd-477e-45bd-ad93-cf6804cb4173,,741
8fcf26c8-812a-47d5-b26a-8c42ecfc076d,,562
dc996cab-28e8-4763-958b-0cb0fd588e83,,17
cb4b0f6b-3085-4c48-b0a4-46212a052bc6,,1294
4831e752-464a-4bf3-a8cb-439c9f3c4e4b,,6218
2bfb41ec-5ba2-48df-a827-78a25493e8dc,,2073
2aeaf7b9-ca1a-4ca1-b1da-a0adfa745d6a,,601
77cd7d71-ae2c-44f8-a8c9-ded1366ecbeb,,819
318c6182-5806-490b-9a0e-e00f4f185ce6,,5510
e8f2d667-3bfe-4ac4-8450-16335b7f920d,,153
d92548f8-4a47-429a-a745-a6dd20ee91d5,,5659
7e3ab95d-1c70-48a2-94d7-a5e47b8d3bc7,,2168
5d0758be-3e43-4d1e-8473-6284e027936f,,5626
b0acbc99-03fc-4535-af4d-476ccb357b36,,503
d7ef1ac2-ce02-4910-a546-12d8e0ab08c3,,4461
c0e172f8-cb65-4cf3-8aec-ae92a2ab0651,,322
39b6a191-26de-4ec2-abc8-7b85fd156aa9,,343
986a179b-2340-409f-b4ad-388f23d0c9c4,,1568
564cf33a-9806-43a4-a62e-d723c52df9f0,,4330
6bfe75ab-858f-4955-bb5d-ad474206c9e3,,661
d297a485-b398-4382-9e8e-8cbaabaa0874,,719
de5a98cf-831a-46c0-b3e4-be799a619b18,,93
f302452d-d5ea-4648-ae9b-7680c0feab9d,,2270
bb1107bc-c592-4b08-968c-548ce10a80f9,,45
b0ae4056-7614-44cc-8399-01af8bf8c26b,,5529
052b0b49-8474-4dbc-8acd-6253c32be30b,,6
097541b3-d065-46d8-8afe-feff2f034423,,2367
8d8fb2df-17b6-4c1d-b7ed-3f653cce28dc,,58
4ac7b507-9dfb-4ce1-a709-b3c3b68c7f52,,524
9376a70d-5c83-4970-bfe2-69dbcbf7961a,,5101
f65496cf-662e-4f10-bbdc-c9aa022af470,,2055
da819c84-5a83-44da-bdb6-a0159a63b049,,352
8a3249e4-e8ba-4047-a765-21c9127baa03,,5942
a237007b-2a38-423a-850f-ca7615fbf3a6,,4367
aef7d3ec-0524-4259-a933-44c79e276fbd,,393
37696b53-7019-494c-bb78-8495b02d160a,,3387
8daa9e9f-df01-4549-901d-6cf7709905ba,,4363
aae4d4a8-0ee2-4007-b19a-1e31f612f253,,3696
16739e75-1c96-43ea-9b24-ed51de628d03,,718
8cf125e6-5491-47e2-8910-8655a3d2a42a,,501
31ba2ea6-9aa7-4936-a059-67fd62951a1e,,688
105e54d5-4923-44c5-bb3c-ef6d412a8eb6,,619
7e6f7715-7d82-4f4c-8b80-fd33b37c9023,,3980
378ff3a9-c3ea-4cd8-b26f-f3ee1e250b92,,2012
7611a96b-1975-44c0-aae8-0c597d2f7c87,,1127
beec27da-d340-4eb5-b101-9bb1a3f190c4,,363
34ddc1c1-8033-46ac-b952-435ad78c6455,,257
24b482bc-6074-42dd-9bbc-1cf71d760903,,704
f2cda6e4-c4a1-4bd4-abe1-ca3db2fc1a5c,,15052
986b1ce0-c169-453d-8b4a-6af5b4060298,,1110
94c5186e-bf86-4564-8de4-15e36e6dbf63,,375
5e1c3cdc-1bc2-43be-bf81-f13e258a32ca,,1032
e9f6086c-8ff4-473d-bb1c-e288a1280b17,,2066
33346203-0b40-4a93-94a2-1126e8beaedd,,4
bafc939c-4127-4e27-96cb-f03ce67d70aa,,5802
c563d119-bfe6-4c84-b6c9-3462fef3ded3,,164
8e3c66d8-65a3-4fcc-a959-9e73e8bc6a21,,741
a3bc615e-3926-4f07-b049-4f3a2f041e91,,105
3edc036d-5d15-4a98-8e0d-7b7ceeeb40c5,,2174
6bac6045-1c9b-4466-b0c2-c7421ce0cecd,,655
ebdc17aa-0fc2-4ffd-ba55-0fe0b22f344b,,3315
ff938cd1-867a-4f1c-9b20-f1b367f932df,,637
30f83c34-d8ac-4920-a398-c85c027d7dba,,1766
c5696991-889d-48b6-a2fc-2f92ed844d5b,,6144
6d5b6304-1395-41da-90c2-ad81e9e930c6,,639
2b993f1e-6c1d-4cc4-beaa-f61e381f2ebb,,12427
7dcc8165-f5f8-492b-a6b2-cb8063c6dac0,,1811
4f348eee-7200-4bba-919c-dbe74308cedf,,9936
328e14d9-1187-472d-813e-b9abd935f7e3,,749
f60f470e-2247-445e-9980-34336e71eed9,,34063
4c72fc49-61bb-45da-9967-10aec10c0cd8,,1410
aef62ae2-1e4b-400a-a9f2-aa240bc6595f,,2493
8b1ffabb-2f09-4696-bc12-27d08d76599c,,186
7c7e92e1-274c-4296-96f2-1f6c552cb6dd,,427
73f15f78-8103-42e4-b693-cb8e35c965df,,665
4a606b5b-691a-4ccf-a36f-62861d0a7fce,,3157
daf90bbc-7780-4617-aff7-fdc90aa2fd88,,928
c1b0b2d1-e07d-4396-97e8-b40f77e31995,,4
f6544516-ab3d-418a-aacf-816af2f9e4a9,,643
d53d3cd8-bb1a-4847-9d9e-c41909fc097e,,1029
ced1edbe-6d5d-4451-9c9e-96080232b286,,9
5673c671-c308-4d18-90c0-1e7a063ac96c,,1445
fb9ede11-3fa0-4e0a-9aa5-2d504bdb92b0,,864
c52b1bd7-7347-4a7f-9956-3796c91e0b6a,,16826
b5d4f973-a7be-4892-98d7-b93837d948fa,,2063
d48bc10e-dab9-4800-aeb9-4c226cd6afd0,,127
e6df7028-bec6-4d8e-8f52-0fba461a94fb,,4293
9947008b-21b9-4ac7-a39f-8ae1eb469996,,3538
7938d757-eb6f-4249-9125-bc2aa19262ea,,144
ad502f2a-e1c8-47a9-a000-5b10786dd1ce,,6429
